Job Title,Location,Incentives,Due Date,URL,Scraped Date,Last Seen
Registered Nurse - Casual,"Metford, The Maitland Hospital | Hunter",,22nd june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-casual-294779,2025-06-06,2025-06-15
Registered Nurse- Drug and Alcohol Clinical Services - Incentives Offered,"Moree, Moree Community Health Service | New England / North West","payments under the rural health workforce incentive scheme.*benefits:at hunter new england health enjoy a career where you're challenged by interesting work and surrounded by spectacular locations. join the team enriching health in millions of ways every day: moree offers significantly lower housing costs compared to urban areas, with opportunities to buy or rent spacious homes at affordable rates. moree has a close-knit, welcoming community with a strong sense of camaraderie. working in a regional town allows you to form meaningful connections with colleagues and the wider community, creating a supportive and fulfilling environment. the region boasts a range of excellent schooling options, from well-regarded public schools to private institutions. these schools are known for small class sizes and personalised attention, ensuring your children receive a great education. enjoy a relaxed lifestyle and access to scenic surroundings. monthly allocated days off (for full-time employees). paid parental leave (for eligible employees) - giving you the opportunity for true worklife balance. relocation assistance to help you settle in – welcome experience. salary packaging options - up to","thursday, 12th june 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-drug-and-alcohol-clinical-services-incentives-offered-294678,2025-06-06,2025-06-15
Community Registered Nurse,"Inverell, Inverell Community Health Service | New England / North West",,15th june 2025,https://jobs.health.nsw.gov.au/jobs/community-registered-nurse-294622,2025-06-06,2025-06-15
Paediatric Registered Nurse,"New Lambton Heights, John Hunter Children's Hospital | Hunter",,17th june 2025,https://jobs.health.nsw.gov.au/jobs/paediatric-registered-nurse-294602,2025-06-06,2025-06-15
Community Nurse - RN,"Inverell, Inverell Community Health Service | New England / North West",,15th june 2025,https://jobs.health.nsw.gov.au/jobs/community-nurse-rn-294569,2025-06-06,2025-06-15
Community Nurse Bundarra,"Inverell, Inverell Community Health Service | New England / North West",,15th june 2025,https://jobs.health.nsw.gov.au/jobs/community-nurse-bundarra-294545,2025-06-06,2025-06-15
Registered Nurse,"Newcastle, Newcastle Community Health Service | Hunter",,15th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-294540,2025-06-06,2025-06-15
Registered Nurse - Acute Aged Care,"Concord, Concord Repatriation General Hospital | Sydney",, 15 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-acute-aged-care-294525,2025-06-06,2025-06-15
Registered Nurse - Hospital In The Home,"Taree, Taree Community Health Service | Mid North Coast",,"wednesday, 18th june 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-hospital-in-the-home-294446,2025-06-06,2025-06-15
Registered Nurse - Targeted,"New Lambton, John Hunter Hospital | Hunter",,15th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-targeted-294394,2025-06-06,2025-06-15
Registered Nurse - Manning Mental Health Unit - Incentives Offered,"Taree, Manning Hospital | Mid North Coast",payments under the rural health workforce incentive scheme.* monthly allocated days off (for full-time employees) 4 weeks annual leave (pro-rata for part time employees) paid parental leave (for eligible employees) - giving you the opportunity for true worklife balance salary packaging options - up to,"wednesday, 18th june 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-manning-mental-health-unit-incentives-offered-294328,2025-06-06,2025-06-15
Registered Nurse - Portland Tabulam Multi-Purpose Service,"Portland, Portland Tabulam Health Centre | Western Sydney",,17/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-portland-tabulam-multi-purpose-service-294307,2025-06-06,2025-06-15
Registered Nurse - Targeted,"New Lambton, John Hunter Hospital | Hunter",,15th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-targeted-294249,2025-06-06,2025-06-15
Care Co-ordinator,"Prairiewood, Braeside Hospital | Western Sydney",,,https://jobs.health.nsw.gov.au/jobs/care-co-ordinator-294135,2025-06-06,2025-06-15
Registered Nurse - Emergency Department Canterbury Hospital and Concord Hospital,"Camperdown, SLHD District Wide Services | Sydney",, 30 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-canterbury-hospital-and-concord-hospital-294073,2025-06-06,2025-06-25
Child & Family Health Nurse,"Quirindi, Quirindi Community Health Service | New England / North West",,12th june 2025,https://jobs.health.nsw.gov.au/jobs/child-family-health-nurse-294058,2025-06-06,2025-06-06
Registered Nurse ICCAPP - Targeted,"Tamworth, Tamworth Community Health Service | New England / North West",,12th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-iccapp-targeted-294066,2025-06-06,2025-06-06
Registered Nurse Opportunities - Targeted,"New Lambton, John Hunter Hospital | Hunter",,9th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-opportunities-targeted-294054,2025-06-06,2025-06-06
Registered Nurse - Oncology Unit,"Armidale, Armidale Hospital | New England / North West",,12th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-oncology-unit-294052,2025-06-06,2025-06-06
Registered Nurse (0.6 FTE),"Greenwich, Greenwich Hospital | Sydney",,,https://jobs.health.nsw.gov.au/jobs/registered-nurse-0-6-fte-293982,2025-06-06,2025-06-15
Registered Nurse - Mixed Medical Surgical - Perm FT,"Bowral, Bowral Hospital | Southern Highlands",,15/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-mixed-medical-surgical-perm-ft-293898,2025-06-06,2025-06-15
Registered Nurse- Community,"Wallsend, Wallsend Campus | Hunter",,"tuesday, 10th june 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-community-293839,2025-06-06,2025-06-06
Registered Nurse,"Lithgow, Lithgow Community Health Centre | Central West",,12/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-293824,2025-06-06,2025-06-06
